"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",9,0,3,0,10,9,11,13,12,7,11,13,4,13,14,11,10
"dtr",5,14,11,11,6,1,3,3,0,6,1,1,11,1,0,2,0
"pet",4,13,7,13,8,2,5,2,2,6,1,2,12,0,0,1,0
"PETminusPRE",3,13,11,9,3,3,12,2,3,11,3,3,10,0,0,1,0
"pre",9,1,3,5,11,10,2,12,10,3,10,11,4,14,14,13,14
"tmn",8,8,6,9,12,9,10,11,9,6,6,8,10,1,3,8,4
"tmp",8,10,8,9,11,6,7,5,8,4,5,5,12,1,1,3,2
"tmx",6,10,8,10,9,4,4,3,5,4,3,3,12,0,0,1,0
"vap",12,7,11,6,13,9,8,13,9,5,9,11,9,2,4,10,12
"wet",10,0,3,6,12,8,4,12,10,2,9,10,4,14,14,13,14
"PDSI_prewhiten",4,1,3,7,10,12,8,9,9,5,12,13,7,12,14,13,14
