"Summary_type","Species","cld","deficit","dtr","frs","pet","pet_sum","pre","tmn","tmp","tmx","vap","wet"
"Sum of all absolute correlations","All",7.5712474042275,8.43534716954293,7.49955130321752,1.64720712419782,7.3356960391415,7.34713056188718,9.05829103915218,8.37288424886171,7.9073967271832,7.50335987898987,7.15635011696167,10.3228618783449
"Sum of all absolute correlations","CACO",0.40727575975375,0.393906182406383,0.327880306639443,0.0586544657502235,0.567483049316826,0.5420399388888,0.366989434696836,0.738405204873687,0.662243788020843,0.544166209997244,0.293449228111964,0.531087356425592
"Sum of all absolute correlations","CAGL",0.553634064288693,0.683956708174041,0.509222006154265,0.174350569894174,0.348468002289189,0.375413149930474,0.67167075693377,0.24193554746744,0.221503550067092,0.259672736734867,0.592173982776169,0.687253446090931
"Sum of all absolute correlations","CAOV",0.240032464501931,0.48092027831908,0.527603756139003,0.0822331864573599,0.419679244557091,0.414093043010331,0.476821358804458,0.39752741618802,0.335857931162407,0.419021214168477,0.284260930909081,0.699594411142435
"Sum of all absolute correlations","CATO",0.532419560868027,0.74926908249734,0.651496720382919,0.303214048072884,0.990504556204598,1.0203444873393,0.876372252327704,0.990945920924243,1.04570556624942,1.05482081144884,0.505433778770331,0.653911251829285
"Sum of all absolute correlations","FAGR",0.367206718346796,0.634513945954717,0.162800315792534,0.0612220276501688,0.646602179800759,0.585839851867704,0.587432570927429,0.519617601309636,0.554878712679234,0.540276239037072,0.624177075703462,0.545102800316208
"Sum of all absolute correlations","FRAM",0.379859939608997,0.32397516523789,0.309858977950568,0.0101016013849609,0.189225751036644,0.167610843301692,0.403628304914697,0.786536238130267,0.633684149427353,0.403028063376527,0.761789492980198,0.551006642993589
"Sum of all absolute correlations","FRNI",0.501146933158907,0.539477745447917,0.570630038447617,0.0664675347401156,0.465150666469533,0.451922750734983,0.653636462723484,0.480118982620165,0.551364122990458,0.668054424002805,0.544994110758344,0.628073050736162
"Sum of all absolute correlations","JUNI",0.857662140360187,0.521977176348936,0.611755583179003,0.190048771772075,0.791231351908456,0.807176691716383,0.526833417073997,0.833473091480702,0.860629741618653,0.764933098663432,0.31750492274709,0.782454231695168
"Sum of all absolute correlations","LITU",0.476922884549217,0.465964657344611,0.255917275080198,0.122820319285204,0.144545743961836,0.168464489692549,0.516277301817836,0.218603865172122,0.238245237788381,0.248213104149349,0.186696061512259,0.704325558495554
"Sum of all absolute correlations","PIST",0.304309123175307,0.661161487228209,0.573447805262716,0.0822329436849836,0.340828710175313,0.339734224568888,0.687367532733732,0.689733703893361,0.583679157094657,0.386148579664633,0.696041014461776,0.902103452660684
"Sum of all absolute correlations","QUAL",0.480414707370141,0.773627098569805,0.647958025951333,0.0454020868208266,0.37688076246627,0.389806524631417,0.905537514297456,0.833687639706881,0.659100601040993,0.62867379088056,0.749402139171002,1.00076061394682
"Sum of all absolute correlations","QUPR",0.34481702806444,0.734157834999543,0.604598589363218,0.0355129616751267,0.414452997211268,0.401089255680093,0.803332614529729,0.573002742122635,0.375327712782363,0.344905426273914,0.435015748620256,0.936370349418383
"Sum of all absolute correlations","QURU",1.09640283338011,0.786427036319829,0.779225393962256,0.140221192193585,0.744054143900236,0.781482860083022,0.880252857385792,0.507106343344903,0.677205000633019,0.707139374737715,0.373982276469822,0.916520684774624
"Sum of all absolute correlations","QUVE",1.029143246801,0.686012770694629,0.967156508912449,0.274725414816136,0.896588879843486,0.902112450441546,0.70213865998526,0.562189951627647,0.507971455628327,0.534306805854441,0.791429353969916,0.784298027819516
"Count of Significant correlations","All",5,4,3,0,2,3,6,4,2,2,1,4
"Count of Significant correlations","CACO",0,0,0,0,0,0,0,0,0,0,0,0
"Count of Significant correlations","CAGL",1,0,0,0,0,0,1,0,0,0,0,0
"Count of Significant correlations","CAOV",0,0,0,0,0,0,0,0,0,0,0,0
"Count of Significant correlations","CATO",0,1,0,0,0,0,2,1,1,1,0,0
"Count of Significant correlations","FAGR",0,1,0,0,0,0,1,1,0,0,0,1
"Count of Significant correlations","FRAM",0,0,0,0,0,0,0,0,0,0,0,0
"Count of Significant correlations","FRNI",0,1,0,0,0,0,1,0,0,0,0,1
"Count of Significant correlations","JUNI",1,0,0,0,0,1,0,0,1,1,0,0
"Count of Significant correlations","LITU",0,0,0,0,0,0,0,0,0,0,0,0
"Count of Significant correlations","PIST",0,0,0,0,0,0,0,1,0,0,0,0
"Count of Significant correlations","QUAL",0,0,0,0,0,0,0,1,0,0,0,1
"Count of Significant correlations","QUPR",0,0,0,0,0,0,0,0,0,0,0,1
"Count of Significant correlations","QURU",1,1,1,0,1,1,1,0,0,0,0,0
"Count of Significant correlations","QUVE",2,0,2,0,1,1,0,0,0,0,1,0
"Sum of absolute significant correlations","All",1.74171826429991,1.4184444220763,0.950550690043271,NA,0.6611616232692,1.00069756772133,2.13031178552742,1.80294946741093,0.889520633694191,0.855062583408728,0.392800175154319,1.50115315552256
"Sum of absolute significant correlations","CACO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sum of absolute significant correlations","CAGL",0.322240942425065,NA,NA,NA,NA,NA,0.336500041015043,NA,NA,NA,NA,NA
"Sum of absolute significant correlations","CAOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sum of absolute significant correlations","CATO",NA,0.378757626728464,NA,NA,NA,NA,0.780193150793656,0.599849138711687,0.567311693519454,0.46467776876185,NA,NA
"Sum of absolute significant correlations","FAGR",NA,0.34597497857855,NA,NA,NA,NA,0.334009103234898,0.363956799816387,NA,NA,NA,0.315301262383201
"Sum of absolute significant correlations","FRAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sum of absolute significant correlations","FRNI",NA,0.283342631714426,NA,NA,NA,NA,0.287302882690226,NA,NA,NA,NA,0.273833620298457
"Sum of absolute significant correlations","JUNI",0.37904314814085,NA,NA,NA,NA,0.332825189723969,NA,NA,0.322208940174737,0.390384814646878,NA,NA
"Sum of absolute significant correlations","LITU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sum of absolute significant correlations","PIST",NA,NA,NA,NA,NA,NA,NA,0.312605049221117,NA,NA,NA,NA
"Sum of absolute significant correlations","QUAL",NA,NA,NA,NA,NA,NA,NA,0.526538479661735,NA,NA,NA,0.453512311740181
"Sum of absolute significant correlations","QUPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458505961100724
"Sum of absolute significant correlations","QURU",0.386843748076399,0.410369185054857,0.310034809245643,NA,0.325055284702297,0.336971838724535,0.3923066077936,NA,NA,NA,NA,NA
"Sum of absolute significant correlations","QUVE",0.653590425657599,NA,0.640515880797628,NA,0.336106338566903,0.330900539272825,NA,NA,NA,NA,0.392800175154319,NA
